,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_name,type,uri,valence
489,0.0484,0.769,265600,0.547,0.0,7,0.136,-5.787,1,Keek Dogg,0.423,183.765,4,"Flame Up (Feat. Big Oso Loc, Ed Dosia, Lil Corner, Konvict, ,Tone Capone, Ill Fons C Note, Lenyo & Keek Dogg)",bay_area,spotify:track:0DMDx1e0cO3QvjmNA3Ts0N,0.326
490,0.436,0.856,246693,0.73,0.0,6,0.108,-6.323,0,Chente Corleone,0.3,89.49,4,Mob Shit,bay_area,spotify:track:1h40izLPGnNVayu4SwiQ9d,0.358
491,0.277,0.463,275827,0.88,0.0,9,0.279,-3.414,0,Chente Corleone,0.155,188.05,4,Where I Went Wrong,bay_area,spotify:track:6xn4QjBOrcDjJEVOU0xFON,0.715
492,0.0204,0.702,240040,0.676,0.0,2,0.107,-9.285,1,Chente Corleone,0.288,183.936,4,Dirty Deedz,bay_area,spotify:track:00p7KqBiZNoQM87l7moLPI,0.315
493,0.0251,0.815,218653,0.539,0.0,4,0.142,-8.292,0,Chente Corleone,0.313,83.967,4,Still Hustlin (feat. Tito B & Whiskey Loc),bay_area,spotify:track:2rNTUHuFjwdDzH3Gxfb1Tl,0.324
494,0.0908,0.904,229080,0.681,0.0,11,0.0984,-6.357,0,Chente Corleone,0.304,88.007,4,G File (feat. Big Oso Loc),bay_area,spotify:track:4O9afJqaxNY3nj42bMsdz6,0.658
495,0.021,0.866,266667,0.599,0.0,1,0.0528,-8.567,1,Chente Corleone,0.133,144.026,4,"Bay 2 the Valley (feat. Lil Coner, Whiskey Loc, Pancho Lynie, Tito B & Lil Trueno)",bay_area,spotify:track:1klPWOHk5dxOuUC1jsrnjc,0.715
496,0.0211,0.923,214100,0.449,0.0,6,0.189,-7.914,0,Chente Corleone,0.312,94.703,4,Homeboy,bay_area,spotify:track:4C5Td9xKJ49yOBBSStYjDT,0.388
497,0.119,0.799,265150,0.698,0.000718,7,0.0929,-7.018,1,Chente Corleone,0.12,100.039,4,Area XIV,bay_area,spotify:track:5MSf4qLQcHnu0sPoSKfcJ1,0.343
498,0.085,0.91,222793,0.645,0.0,8,0.0449,-6.714,1,Chente Corleone,0.161,95.974,4,Summer Time,bay_area,spotify:track:2qO5h02XtYDMKzDYnJqkFx,0.732
499,0.646,0.842,249493,0.677,0.0,7,0.0948,-7.197,1,Chente Corleone,0.43,77.491,4,Sittin Sideways (feat. Whiskey Loc & Tha Affiliation),bay_area,spotify:track:6BnJBYkMV20q3ICTKVnKEH,0.799
500,0.359,0.409,280842,0.678,4.76e-06,9,0.167,-7.731,1,Higher Brothers,0.0878,89.968,4,Midsummer Madness,chinese,spotify:track:6TodWdTSDfzwgYynTZSvJn,0.168
501,0.0313,0.8,243332,0.545,5.07e-05,0,0.0929,-6.74,1,Higher Brothers,0.0765,99.981,4,Tequila Sunrise (feat. AUGUST 08 & GoldLink),chinese,spotify:track:121bJml1xjrfnZuk2yPsLG,0.458
502,0.349,0.734,233033,0.699,0.0,11,0.261,-6.689,1,Higher Brothers,0.0614,109.979,4,Lover Boy 88,chinese,spotify:track:2vRDFgdJiILUdDOLL8hLH3,0.5
503,0.00646,0.763,233846,0.545,5.16e-05,11,0.0456,-8.188,0,Higher Brothers,0.126,78.019,4,R&B All Night,chinese,spotify:track:6MrVXeEMf0MULWdclDk4sI,0.804
504,0.00397,0.79,171733,0.779,0.000155,1,0.159,-2.642,1,Higher Brothers,0.0416,150.115,4,Made In China,chinese,spotify:track:1qowUCis8gYY9KOMuy8fCi,0.228
505,0.0501,0.84,244800,0.536,0.000248,4,0.73,-7.652,0,Higher Brothers,0.158,75.013,4,Nomadic (feat. Joji),chinese,spotify:track:4fq9ldVbZ57iYFGrKpDLj0,0.56
506,0.168,0.649,151532,0.684,1.18e-05,10,0.141,-7.601,0,Higher Brothers,0.0814,171.994,4,2 The Face,chinese,spotify:track:01ibNvCrbTdwOcqIcroORv,0.342
507,0.0855,0.906,200652,0.726,0.0,1,0.127,-4.965,1,Higher Brothers,0.255,132.004,4,One Punch Man (feat. Ski Mask The Slump God & Denzel Curry),chinese,spotify:track:5XHcYoIcFY7GgV6OHUB00Q,0.354
508,0.392,0.891,159184,0.746,0.00112,2,0.0946,-6.333,1,Higher Brothers,0.0927,97.996,4,Mr. Bentley,chinese,spotify:track:603FrR2LgWS3X4osiN12XO,0.493
509,0.00547,0.807,224000,0.733,0.0,8,0.144,-6.889,1,Higher Brothers,0.222,110.13,4,"Talk Less and Feel More (feat. AUGUST 08, Barney Bones & Psy.P)",chinese,spotify:track:4Fok6DNEzaVdinO94EuU8n,0.36
510,0.0198,0.677,182837,0.697,0.0,5,0.144,-5.63,0,Kris Wu,0.0321,134.0,4,Deserve (feat. Travis Scott),chinese,spotify:track:0UJUZy6F5M4RxVEZCJrS6t,0.61
511,0.183,0.632,254508,0.629,0.0,2,0.344,-5.935,1,Kris Wu,0.258,179.882,4,18,chinese,spotify:track:3wrPaT9MQxCG1LQmNvNRed,0.207
512,0.00783,0.739,193600,0.5,0.0,8,0.146,-7.046,1,Kris Wu,0.132,149.988,4,November Rain,chinese,spotify:track:58ZdT5NQIAkeSWUxNneBg8,0.285
513,0.0447,0.769,194684,0.595,0.0,10,0.107,-5.926,1,Kris Wu,0.0416,95.014,4,咖啡 (LH x KW),chinese,spotify:track:5UefWQvIsjrpIMlycVwqoN,0.326
514,0.0155,0.609,242000,0.817,3.94e-06,10,0.118,-7.231,0,Kris Wu,0.0465,134.009,4,Deserve (feat. Travis Scott) - Lido Remix,chinese,spotify:track:4RzmEeKCDqFZrYhsaNd5kJ,0.196
