,type,name,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
54,bay_area,Dubee,Y.B.B. Bomb,spotify:track:1VAZvnYkF76JznUgeCkl39,0.854,0.667,7,-7.452,1,0.331,0.14,0.0,0.542,0.64,95.527,423532,4
55,bay_area,Dubee,I Like Dat,spotify:track:4hRHkDSb2NDRG1ZlADeN6v,0.808,0.822,7,-6.414,1,0.138,0.046,0.0,0.232,0.78,89.98,266667,4
56,bay_area,Dubee,Dumb,spotify:track:7icZLLURHLPgZjnnOMtILh,0.838,0.817,11,-5.608,0,0.0901,0.0464,0.0,0.273,0.686,104.984,219005,3
57,bay_area,Dubee,Pit Bull Vicious,spotify:track:5bsq1uNeGzdxRxMvkq28gP,0.934,0.576,2,-6.437,1,0.296,0.0561,1.92e-06,0.461,0.535,99.82,319507,4
58,bay_area,Dubee,Game U Feenin 4,spotify:track:4C7r0WvPROSPbxJAMhfk1N,0.927,0.707,7,-7.828,1,0.354,0.0556,0.0,0.641,0.666,94.454,220497,4
59,bay_area,Dubee,Mackin Is My Duty,spotify:track:0y43XaA75j9oL919OVpNiL,0.815,0.619,11,-5.234,0,0.406,0.0515,0.0,0.297,0.447,176.068,231364,4
60,bay_area,Shady Nate,Head Will Roll (feat. Fe the Don),spotify:track:1TjSl2jgjbNmMY1HpAwU4Z,0.657,0.881,1,-3.483,1,0.181,0.0116,0.0,0.231,0.554,132.451,235000,4
61,bay_area,Shady Nate,Strapped Wit Macs,spotify:track:27yOZ9nTabV4Ise52FnE0p,0.522,0.518,6,-10.652,1,0.296,0.000649,1.01e-06,0.13,0.437,89.633,206973,4
62,bay_area,Shady Nate,"Pound Cake Remix (feat. Lil Aj, Stef Stax & Hd)",spotify:track:44B4Mvvrx8MCCLCht8zM0b,0.589,0.733,4,-4.026,0,0.362,0.211,0.0,0.248,0.602,90.692,234799,4
63,bay_area,Shady Nate,1 Mo Lick,spotify:track:0dXEiPrll1WSEdLPts2ZUd,0.715,0.696,10,-4.098,0,0.253,0.0253,0.0,0.0779,0.783,96.04,205013,4
64,bay_area,Shady Nate,Ridin' Dirty,spotify:track:64LGA06WeF6jvfDXFYoVh3,0.666,0.74,6,-6.47,0,0.361,0.0157,0.0,0.0751,0.706,89.762,241920,4
65,bay_area,Shady Nate,Mobb Meetin,spotify:track:7a9EpzQltbjHicTWfn2yeR,0.78,0.507,11,-10.456,1,0.305,0.00507,0.0,0.0936,0.238,95.038,353684,4
66,bay_area,Shady Nate,Stay Humble,spotify:track:6ERMimJYBk7WRZcVdATSsE,0.743,0.641,6,-9.704,0,0.239,0.136,0.0,0.148,0.776,89.918,193401,4
67,bay_area,Shady Nate,Had It Hard,spotify:track:4rJsTqUuJtL9pZOjRr65VL,0.821,0.375,8,-15.136,1,0.272,0.0329,0.0,0.112,0.411,90.028,268926,4
68,bay_area,Shady Nate,Champs,spotify:track:6p096kLnDz4eHJHGBhOyVh,0.714,0.698,1,-6.265,0,0.277,0.0122,0.0,0.121,0.562,93.477,215721,4
69,bay_area,Shady Nate,Need 2 Know,spotify:track:61WqlYSShODX00jWMQtTRv,0.756,0.58,10,-10.054,0,0.2,0.199,1.92e-06,0.133,0.0699,95.516,221155,4
70,bay_area,Beeda Weeda,"Mack'n & Mobb'n (feat. Messy Marv, B-Legit & J. Stalin)",spotify:track:6L5fiS4BG7iCDHDuemr0Ny,0.724,0.594,3,-4.757,0,0.259,0.106,0.0,0.338,0.797,82.976,300240,4
71,bay_area,Beeda Weeda,"West Up (feat. Jay Rock, Glasses Malone, Messy Marv, J. Stalin, 211, K Boy, Scoot Dogg, Cousin Fik, Mitchy Slick, T-Nutty & Laroo)",spotify:track:3Zkr4JWDhXY0Pv2V7Uzb7Y,0.472,0.645,11,-7.125,1,0.306,0.297,0.0,0.567,0.518,80.775,410440,4
72,bay_area,Beeda Weeda,Baby Mama,spotify:track:7ol22PCsKdwBUpBElYZPkE,0.783,0.466,2,-10.293,1,0.224,0.12,8.45e-06,0.086,0.36,184.028,186593,4
73,bay_area,Beeda Weeda,Nohoe - Remix,spotify:track:75EenE1d0HbTNxBSljQayx,0.92,0.656,4,-7.113,0,0.431,0.039,0.0,0.123,0.368,99.991,283867,4
74,bay_area,Beeda Weeda,Wet (feat. 4rAx),spotify:track:0MITBtvJkj7NrXPMtjlJba,0.654,0.669,11,-5.582,0,0.34,0.077,0.0,0.457,0.612,82.945,231147,4
